	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	0.6710090041160583	0.7218223810195923	0.7127706408500671	0.6983629465103149	0.6630799770355225	0.6402498483657837	0.6846786737442017	0.6767738461494446	0.3268474638462067	0.4062337577342987	0	0.1889537423849106	0.3474740386009216	0.3339938521385193	0.3580618500709534	0.408472090959549	0.3519671559333801	0.4503994286060333	0.7177971601486206	0.3453746736049652	0.3354300856590271	0.3452807068824768	0.4067471325397491	0.3661812841892242	0.5857674479484558	0.3859035670757294	0.4386855363845825	0.3547685444355011	0.3364325761795044	0.345536857843399	0.5618919730186462
L2S222	0.706359326839447	0.7581746578216553	0.7516506910324097	0.7367695569992065	0.7019415497779846	0.678425133228302	0.7232202887535095	0.7132812142372131	0.3533217310905457	0.4010891914367676	0.1889537423849106	0	0.3341915011405945	0.3300926387310028	0.3696989119052887	0.3838299810886383	0.3776966333389282	0.4585183560848236	0.7556526064872742	0.3493207693099976	0.3084356188774109	0.2960214912891388	0.3868991136550903	0.3628756701946259	0.569194495677948	0.36763796210289	0.4159002900123596	0.3422738015651703	0.3544963002204895	0.3363169133663177	0.5567036271095276
L2S240	0.6969131827354431	0.7488424777984619	0.7430861592292786	0.7290691137313843	0.6932140588760376	0.6749704480171204	0.7153006792068481	0.715234100818634	0.4078225791454315	0.3585706949234009	0.3474740386009216	0.3341915011405945	0	0.3711963891983032	0.3475531935691833	0.2858327627182007	0.4307467639446259	0.4049870073795319	0.7458735704421997	0.352501779794693	0.2423910796642303	0.4213478863239288	0.2210476845502853	0.09406758099794388	0.3927255272865295	0.1135310158133507	0.1974308490753174	0.0525021143257618	0.1341750472784042	0.04536516219377518	0.3805334270000458
L2S309	0.7520026564598083	0.8007848262786865	0.7944371104240417	0.7812114953994751	0.7450748682022095	0.7221362590789795	0.7670836448669434	0.7567276954650879	0.2643947899341583	0.2062851190567017	0.3339938521385193	0.3300926387310028	0.3711963891983032	0	0.13021020591259	0.3472777605056763	0.3162094056606293	0.207959771156311	0.7977993488311768	0.1132795885205269	0.2586736977100372	0.1542003154754639	0.3746924102306366	0.369983971118927	0.5940501689910889	0.356295257806778	0.4785200357437134	0.3905899524688721	0.4084067940711975	0.3803571462631226	0.6217893362045288
L2S357	0.7621515393257141	0.8070667386054993	0.7964663505554199	0.7829915881156921	0.7470487356185913	0.7245560884475708	0.7683264017105103	0.7619550228118896	0.2321300357580185	0.2029715925455093	0.3580618500709534	0.3696989119052887	0.3475531935691833	0.13021020591259	0	0.3405124247074127	0.2532426714897156	0.1554888337850571	0.8027988076210022	0.08578205853700638	0.240727573633194	0.2170630544424057	0.3530181050300598	0.3396366834640503	0.5752395987510681	0.3288234770298004	0.4549516439437866	0.3652531504631042	0.3790621161460876	0.3583524227142334	0.5989463925361633
L2S382	0.6879218220710754	0.7380262613296509	0.7351316213607788	0.7210531234741211	0.6853395104408264	0.6636452674865723	0.708031177520752	0.7030594944953918	0.42539182305336	0.3440819978713989	0.408472090959549	0.3838299810886383	0.2858327627182007	0.3472777605056763	0.3405124247074127	0	0.4644787311553955	0.3885845243930817	0.7373321056365967	0.3378713428974152	0.1947059482336044	0.4025883972644806	0.2564759850502014	0.3163906335830688	0.3710754811763763	0.2547872066497803	0.2382430732250214	0.32244673371315	0.3694815635681152	0.3041844367980957	0.3857271075248718
L3S294	0.799656093120575	0.8429749011993408	0.8348395824432373	0.8212666511535645	0.7855547070503235	0.7629733681678772	0.8062280416488647	0.8020126223564148	0.132221058011055	0.2473400384187698	0.3519671559333801	0.3776966333389282	0.4307467639446259	0.3162094056606293	0.2532426714897156	0.4644787311553955	0	0.2282552421092987	0.8386606574058533	0.2870495915412903	0.3837707340717316	0.2958582043647766	0.4473444521427155	0.4653745889663696	0.6803600192070007	0.4554438591003418	0.5354934930801392	0.4391304552555084	0.4266651272773743	0.429626077413559	0.6734046339988708
L3S313	0.7801644802093506	0.8316112160682678	0.8285698294639587	0.8151265978813171	0.7791628241539001	0.7572308778762817	0.801027238368988	0.7949416041374207	0.2152837812900543	0.1062866598367691	0.4503994286060333	0.4585183560848236	0.4049870073795319	0.207959771156311	0.1554888337850571	0.3885845243930817	0.2282552421092987	0	0.8311105370521545	0.1830042898654938	0.3002924621105194	0.2758366167545319	0.4280148148536682	0.3942109346389771	0.6226062178611755	0.3835792243480682	0.5113295316696167	0.419160783290863	0.4354693293571472	0.4147935509681702	0.6583098173141479
L3S378	0.1195347309112549	0.06051392108201981	0.09252911061048508	0.1497469693422318	0.1472592651844025	0.1516952365636826	0.0936773344874382	0.1523750424385071	0.8470975160598755	0.8171544075012207	0.7177971601486206	0.7556526064872742	0.7458735704421997	0.7977993488311768	0.8027988076210022	0.7373321056365967	0.8386606574058533	0.8311105370521545	0	0.7987247109413147	0.7408337593078613	0.8353955745697021	0.7852727174758911	0.7545852065086365	0.6664972901344299	0.7536646127700806	0.7156686782836914	0.7471991777420044	0.72728031873703	0.7440836429595947	0.6268769502639771
L4S112	0.754663348197937	0.8023852109909058	0.7942544221878052	0.7807815670967102	0.7443267107009888	0.722314178943634	0.7669810056686401	0.7612864971160889	0.2575908899307251	0.1849444061517715	0.3453746736049652	0.3493207693099976	0.352501779794693	0.1132795885205269	0.08578205853700638	0.3378713428974152	0.2870495915412903	0.1830042898654938	0.7987247109413147	0	0.2385158985853195	0.2036203742027283	0.3541768193244934	0.3437567353248596	0.57622891664505	0.3321325182914734	0.4631326496601105	0.3712829351425171	0.3869971930980682	0.3636113405227661	0.6064968705177307
