	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L4S137	0.9927470534904805	0.9981867633726201	0.9945602901178604	0.99909338168631	1.0	1.0	1.0	0.9945602901178604	0.7398005439709883	0.599274705349048	0.8766999093381687	0.8495013599274706	0.7960108794197642	0.6600181323662738	0.6092475067996374	0.5013599274705349	0.8295557570262919	0.6935630099728014	0.9981867633726201	0.5893019038984587	0.0	0.7679057116953762	0.7923844061650045	0.8295557570262919	0.85766092475068	0.7905711695376246	0.8504079782411604	0.8168631006346329	0.8640072529465095	0.772438803263826	0.7778785131459656
L4S63	0.9927470534904805	0.9945602901178604	0.9945602901178604	0.99909338168631	1.0	1.0	1.0	0.9963735267452403	0.699909338168631	0.6917497733454215	0.7416137805983681	0.7198549410698096	0.8930190389845875	0.4514959202175884	0.5321849501359928	0.8096101541251133	0.7615593834995467	0.6264732547597461	0.9963735267452403	0.5376246600181324	0.7679057116953762	0.0	0.9057116953762466	0.9184043517679057	0.9184043517679057	0.9093381686310064	0.9084315503173164	0.9020852221214869	0.927470534904805	0.8948322756119673	0.8939256572982774
L5S104	0.9945602901178604	1.0	0.9963735267452403	1.0	1.0	0.9945602901178604	0.9945602901178604	0.9891205802357208	0.8413417951042611	0.8105167724388033	0.9193109700815957	0.9410698096101541	0.4134179510426111	0.8304623753399819	0.8041704442429737	0.8340888485947416	0.927470534904805	0.8223028105167725	0.9981867633726201	0.8059836808703535	0.7923844061650045	0.9057116953762466	0.0	0.40344514959202177	0.5222121486854034	0.3254759746146872	0.44152311876699907	0.40072529465095197	0.6337262012692656	0.471441523118767	0.5720761559383499
L5S155	0.9927470534904805	0.9927470534904805	0.9891205802357208	0.9927470534904805	0.9927470534904805	0.9927470534904805	0.9927470534904805	0.9873073436083409	0.8948322756119673	0.8386219401631912	0.9610154125113327	0.9528558476881233	0.46600181323662737	0.8739800543970988	0.8594741613780599	0.85766092475068	0.9528558476881233	0.814143245693563	0.9909338168631007	0.8395285584768812	0.8295557570262919	0.9184043517679057	0.40344514959202177	0.0	0.5031731640979148	0.20217588395285585	0.34270172257479603	0.4460562103354488	0.6799637352674524	0.5548504079782411	0.6799637352674524
L5S174	1.0	1.0	0.9963735267452403	1.0	1.0	1.0	1.0	0.9945602901178604	0.928377153218495	0.8694469628286491	0.9610154125113327	0.9528558476881233	0.5593834995466909	0.914777878513146	0.8912058023572076	0.8930190389845875	0.9510426110607434	0.8703535811423391	0.9981867633726201	0.8712601994560291	0.85766092475068	0.9184043517679057	0.5222121486854034	0.5031731640979148	0.0	0.45693563009972804	0.4016319129646419	0.5657298277425205	0.6373526745240253	0.6337262012692656	0.5720761559383499
L5S203	1.0	0.9981867633726201	0.9945602901178604	0.9981867633726201	0.9981867633726201	1.0	1.0	0.9945602901178604	0.8549410698096102	0.7987307343608341	0.9519492293744334	0.9446962828649139	0.4215775158658205	0.8549410698096102	0.8377153218495014	0.8213961922030825	0.9229374433363554	0.815049864007253	0.9963735267452403	0.8159564823209429	0.7905711695376246	0.9093381686310064	0.3254759746146872	0.20217588395285585	0.45693563009972804	0.0	0.2357207615593835	0.4270172257479601	0.5720761559383499	0.46509519492293744	0.5602901178603807
L5S222	1.0	1.0	0.9963735267452403	1.0	1.0	1.0	1.0	0.9945602901178604	0.9193109700815957	0.8676337262012692	0.9483227561196736	0.9410698096101541	0.45602901178603805	0.8957388939256573	0.8803263825929284	0.8875793291024479	0.9446962828649139	0.8812330009066183	0.9981867633726201	0.8730734360834089	0.8504079782411604	0.9084315503173164	0.44152311876699907	0.34270172257479603	0.4016319129646419	0.2357207615593835	0.0	0.499546690843155	0.6065276518585675	0.48957388939256574	0.5303717135086129
L5S240	0.99909338168631	0.9972801450589301	0.9945602901178604	0.9972801450589301	0.9972801450589301	1.0	1.0	0.9945602901178604	0.9165911151405258	0.85766092475068	0.9519492293744334	0.9392565729827742	0.14233907524932005	0.8676337262012692	0.8404351767905711	0.8703535811423391	0.9519492293744334	0.8649138712601995	0.9954669084315503	0.8368087035358114	0.8168631006346329	0.9020852221214869	0.40072529465095197	0.4460562103354488	0.5657298277425205	0.4270172257479601	0.499546690843155	0.0	0.35539437896645515	0.24750679963735267	0.3898458748866727
L6S20	0.99909338168631	0.9981867633726201	0.9945602901178604	0.9981867633726201	0.9981867633726201	1.0	1.0	0.9945602901178604	0.9555757026291931	0.9129646418857661	0.9592021758839528	0.9528558476881233	0.3599274705349048	0.9075249320036265	0.8848594741613781	0.9057116953762466	0.9637352674524026	0.9211242067089755	0.9963735267452403	0.8848594741613781	0.8640072529465095	0.927470534904805	0.6337262012692656	0.6799637352674524	0.6373526745240253	0.5720761559383499	0.6065276518585675	0.35539437896645515	0.0	0.3227561196736174	0.42067089755213055
L6S68	0.99909338168631	0.9981867633726201	0.9945602901178604	0.9981867633726201	0.9981867633726201	1.0	1.0	0.9945602901178604	0.8794197642792384	0.8304623753399819	0.942883046237534	0.929283771532185	0.20942883046237534	0.8250226654578422	0.8050770625566637	0.8213961922030825	0.9356300997280145	0.85675430643699	0.9963735267452403	0.8023572076155938	0.772438803263826	0.8948322756119673	0.471441523118767	0.5548504079782411	0.6337262012692656	0.46509519492293744	0.48957388939256574	0.24750679963735267	0.3227561196736174	0.0	0.3844061650045331
