	shannon_entropy
ERR1459046	6.046019198122592
ERR1459047	5.752164549229802
ERR1459048	4.962238398235085
ERR1459049	4.108408615382392
ERR1459050	4.760383286095597
ERR1459051	4.541016912200582
ERR1459052	6.289296794008752
ERR1459054	5.523784994771683
ERR1459055	4.575120650633915
ERR1459056	3.5384910321409384
ERR1459057	6.061140237593309
ERR1459058	5.731318109380915
ERR1459059	5.191862071980694
ERR1459060	5.995929147371972
ERR1459061	3.213010955374337
ERR1459062	3.2511053468275857
ERR1459063	5.786198020641281
ERR1459064	5.197809657843627
ERR1459065	3.407183273038911
ERR1459066	5.676821524134078
ERR1459067	5.120766657551545
ERR1459068	3.457158800305402
ERR1459069	5.030392163279806
ERR1459070	5.090833069973386
ERR1459071	5.09888331569302
ERR1459072	5.506624226298507
ERR1459073	5.478551524950465
ERR1459074	2.498966688193761
ERR1459075	4.314490612953469
ERR1459076	5.253175485425853
ERR1459077	5.318614748113782
ERR1459078	5.9261046243804945
ERR1459079	3.820179508646128
ERR1459080	6.060392367124416
ERR1459081	5.4268217896054365
ERR1459082	4.685611954738658
ERR1459083	4.509058558154661
ERR1459084	5.3044299374741914
ERR1459085	6.070032339335623
ERR1459086	5.0990897988353705
ERR1459087	6.049414244261225
ERR1459088	5.765499686417858
ERR1459089	6.335201280964272
ERR1459090	4.446660823909533
ERR1459091	5.559330821026636
ERR1459092	3.531544476707479
ERR1459093	2.164521840019847
ERR1459094	6.394206507608422
ERR1459095	5.691619617226182
ERR1459096	5.024269327261256
ERR1459097	4.206758949865172
ERR1459098	6.825680593394809
ERR1459099	6.082770697545867
ERR1459100	4.290053541062058
ERR1459101	2.039973724225516
ERR1459103	3.2721351583957055
ERR1459104	4.630551805646196
ERR1459105	6.364695354401054
ERR1459106	4.518032217797207
ERR1459107	4.429188908390826
ERR1459108	5.5435199649623925
ERR1459109	3.9795993922185815
ERR1459110	0.7960015435152188
ERR1459111	5.402632577179149
ERR1459112	4.548958145267049
ERR1459113	6.636872814644277
ERR1459114	3.956550711301989
ERR1459115	6.386049650751451
ERR1459116	5.128883433509543
ERR1459117	6.2484461048842945
ERR1459118	4.6959460216648505
ERR1459119	5.4827099701713005
ERR1459120	4.739742418284681
ERR1459121	4.520028911842673
ERR1459122	6.649961936197774
ERR1459123	5.547065730349182
ERR1459124	2.4076685980806003
ERR1459125	5.235385337853926
ERR1459126	5.382450787987238
ERR1459127	5.101123883652594
ERR1459128	4.647753669709222
ERR1459129	6.187829315838526
ERR1459130	4.3156832147997015
ERR1459131	5.026187714584129
ERR1459132	5.562534787999084
ERR1459133	5.362688407147032
ERR1459134	4.9718872725447225
ERR1459135	5.590157811990834
ERR1459136	3.5043716877336766
ERR1459137	4.068005800464681
ERR1459138	5.78333258172079
ERR1459139	2.9952292471436053
ERR1459140	5.3491078153886535
ERR1459141	5.513366891359613
ERR1459142	5.116991169550162
ERR1459143	4.306663170431876
ERR1459144	5.484976000462768
ERR1459145	4.750606367744391
ERR1459146	4.747652452770856
ERR1459147	1.5101076985020327
ERR1459148	3.982532633566783
ERR1459149	4.593957320468053
ERR1459151	5.973363955395031
ERR1459152	5.305431999378145
ERR1459154	6.1731867999068575
ERR1459155	4.28578458902746
ERR1459156	4.901941637426006
ERR1459157	3.226017207014724
ERR1459158	2.9492721979663705
ERR1459159	5.383191220785483
ERR1459160	5.3088423142981975
ERR1459161	4.737972069644915
ERR1459162	3.6824577243451566
ERR1459163	3.5109583548039884
ERR1459164	5.37387419832997
ERR1459166	5.273056258846579
ERR1459167	5.392330083362292
ERR1459168	3.9339782095659728
ERR1459169	3.5823523099259367
ERR1459170	4.713059155570947
ERR1459171	4.803921685114278
ERR1459172	4.327803734688939
ERR1459173	5.074119020604465
ERR1459174	3.097818927844262
ERR1459175	3.4088995471793497
ERR1459176	4.369761570554318
ERR1459177	4.443762666282215
ERR1459178	5.9364994046420865
ERR1459179	3.2585552928198824
ERR1459180	4.679187149818027
ERR1459181	5.109670740398983
ERR1459182	5.656463266904569
ERR1459183	5.080389186598887
ERR1459184	5.474992233971518
ERR1459186	3.4484790905479783
ERR1459187	5.904460455232128
ERR1459188	5.472398675073524
ERR1459189	3.873851236775605
ERR1459190	4.891582563386718
ERR1459191	5.845205048641545
ERR1459192	3.8781893747882643
ERR1459195	5.101773705662511
ERR1459196	5.68913098298824
ERR1459197	6.112749119706874
ERR1459198	5.527494373665569
ERR1459199	5.564233871161985
ERR1459200	4.772781349475982
ERR1459201	2.4068878034783676
ERR1459202	4.757761798573445
ERR1459203	3.984795220344592
ERR1459204	5.720209385527167
ERR1459205	3.8019954186208276
ERR1459206	4.865641183255409
ERR1459207	5.007027813124414
ERR1459208	4.044628812366906
ERR1459209	3.111106675761818
ERR1459210	3.7294387757975147
ERR1459211	4.441458965626319
ERR1459212	5.457062192456855
ERR1459213	5.524600592605109
ERR1459214	4.83685951446657
ERR1459215	5.8060808379391
ERR1459216	2.492272980739314
ERR1459218	3.221620749120347
ERR1459219	3.364635486287449
ERR1459220	3.8400911618022366
ERR1459221	3.249065818020074
ERR1459224	5.269374231331163
ERR1459225	5.836588498122547
ERR1459228	3.253223460800259
ERR1459229	3.3082251036521595
ERR1459257	5.076435003856989
ERR1459258	4.886888612109134
ERR1459290	5.711857048431551
ERR1459296	5.491894446826185
ERR1459308	5.81802758656255
ERR1843719	0.7608504123356881
ERR2033211	2.002006174771478
ERR2056783	5.651547304424999
ERR2056799	6.141613003131277
ERR2056823	6.432489645727549
