	simpson
ERR1459133	0.9319560157650759
ERR1459134	0.9391218909665678
ERR1459135	0.9528396465825592
ERR1459136	0.8570644144032887
ERR1459137	0.8101010601640662
ERR1459138	0.9653269654009876
ERR1459139	0.7312912022126172
ERR1459140	0.9514026133837736
ERR1459141	0.9187391620733447
ERR1459142	0.927312337801482
ERR1459143	0.8829888100226144
ERR1459144	0.9568104184062178
ERR1459145	0.9303052698318802
ERR1459146	0.8806767390272704
ERR1459147	0.34787268969633334
ERR1459148	0.8171699076306962
ERR1459149	0.9187308305918378
ERR1459150	0.7743764172335601
ERR1459151	0.975752045581589
ERR1459152	0.9598673250332586
ERR1459153	0.0
ERR1459154	0.9668709731634529
ERR1459155	0.9074924685201831
ERR1459156	0.9329681036715812
ERR1459157	0.7011678651620894
ERR1459158	0.684053326546038
ERR1459159	0.9577190008864033
ERR1459160	0.955427100329031
ERR1459161	0.8959843208206935
ERR1459162	0.802796640310077
ERR1459163	0.7390242924204489
ERR1459164	0.948126636288195
ERR1459165	0.967858120005239
ERR1459166	0.9552201483832573
ERR1459167	0.9339308172530778
ERR1459168	0.8989959680997676
ERR1459169	0.7734350999499312
ERR1459170	0.8688053246210086
ERR1459171	0.9213533223331896
ERR1459172	0.8820070753116591
ERR1459173	0.9436354761075139
ERR1459174	0.7507983939439751
ERR1459175	0.8115842444127476
ERR1459176	0.830001454107065
ERR1459177	0.848377651859763
ERR1459178	0.9686801558808318
ERR1459179	0.7609914011115038
ERR1459180	0.9181756659457818
ERR1459181	0.9357593843111194
ERR1459182	0.9669207987700833
ERR1459183	0.9431955849403122
ERR1459184	0.960315091643161
ERR1459185	0.9075580825409274
ERR1459186	0.8118273605831945
ERR1459187	0.9684976232778487
ERR1459188	0.9380670650351728
ERR1459189	0.8467037010364984
ERR1459190	0.9273459945062164
ERR1459191	0.9694895360622883
ERR1459192	0.8503421116961307
ERR1459193	0.0
ERR1459194	
ERR1459195	0.9280273647528815
ERR1459196	0.9590119238102511
ERR1459197	0.9729862026973682
ERR1459198	0.958198441222982
ERR1459199	0.9619140378122865
ERR1459200	0.8846416551288627
ERR1459201	0.7440729087428898
ERR1459202	0.8726621911966015
ERR1459203	0.834318010023058
ERR1459204	0.9647743278688408
ERR1459205	0.7735591327195961
ERR1459206	0.9443202443417166
ERR1459207	0.940426065959443
ERR1459208	0.8931885266361421
ERR1459209	0.7561128383288472
ERR1459210	0.8909890690064619
ERR1459211	0.8710792199218862
ERR1459212	0.9531881499209712
ERR1459213	0.9620506649111402
ERR1459214	0.9389288255688958
ERR1459215	0.9639645383576383
ERR1459216	0.7497946823403774
ERR1459217	0.817611480047105
ERR1459218	0.8368496117487483
ERR1459219	0.745307213352961
ERR1459220	0.8734573150213418
ERR1459221	0.8570394340031466
ERR1459222	0.9252484889489287
ERR1459223	0.9226802681566318
ERR1459224	0.946209445308402
ERR1459225	0.9584685408892232
ERR1459226	0.60625
ERR1459227	0.7587755102040816
ERR1459228	0.7508884885238052
ERR1459229	0.8241972831553304
ERR1459230	0.0
ERR1459231	0.0
ERR1459232	0.0
ERR1459233	0.0
ERR1459234	0.0
ERR1459235	0.0
ERR1459236	0.0
ERR1459237	0.0
ERR1459240	0.0
ERR1459241	0.0
ERR1459243	0.0
ERR1459244	0.0
ERR1459245	0.0
ERR1459246	0.0
ERR1459248	0.0
ERR1459249	0.0
